content,cleaning,case_folding,hasil_normalisasi,token,stopword_removal,stemming
aplikasi ini sangat membantu dalam pemesana perencanaan travel kita 👍🏻,aplikasi ini sangat membantu dalam pemesana perencanaan travel kita ,aplikasi ini sangat membantu dalam pemesana perencanaan travel kita ,aplikasi ini sangat membantu dalam pemesana perencanaan travel kita,"['aplikasi', 'ini', 'sangat', 'membantu', 'dalam', 'pemesana', 'perencanaan', 'travel', 'kita']","['aplikasi', 'membantu', 'pemesana', 'perencanaan', 'travel']",aplikasi bantu sana rencana travel
luar biasa semuanya dipermudah,luar biasa semuanya dipermudah,luar biasa semuanya dipermudah,luar biasa semuanya dipermudah,"['luar', 'biasa', 'semuanya', 'dipermudah']",['dipermudah'],mudah
sangat membantu kami,sangat membantu kami,sangat membantu kami,sangat membantu kami,"['sangat', 'membantu', 'kami']",['membantu'],bantu
"saya bkn tipe orang yg mudah termakan isu apalagi soal agama tanpa bukti yg 100% karna itu akan menjadi dosa untuk diriku sendiri, saya muslim, saya di ajarkan dari kecil untuk saling mengasihi sesama manusia sekalipun jika dia adalah penentang keyakinan saya, karna saya mencontoh junjungan saya bahwa ketika beliau menyebarkan ajaran islam banyak yg menentang namun beliau justru mendoakan kebaikan bkn keburukan. terima kasih traveloka telah menjadi teman setia perjalanan saya 😊",saya bkn tipe orang yg mudah termakan isu apalagi soal agama tanpa bukti yg   karna itu akan menjadi dosa untuk diriku sendiri  saya muslim  saya di ajarkan dari kecil untuk saling mengasihi sesama manusia sekalipun jika dia adalah penentang keyakinan saya  karna saya mencontoh junjungan saya bahwa ketika beliau menyebarkan ajaran islam banyak yg menentang namun beliau justru mendoakan kebaikan bkn keburukan  terima kasih traveloka telah menjadi teman setia perjalanan saya ,saya bkn tipe orang yg mudah termakan isu apalagi soal agama tanpa bukti yg   karna itu akan menjadi dosa untuk diriku sendiri  saya muslim  saya di ajarkan dari kecil untuk saling mengasihi sesama manusia sekalipun jika dia adalah penentang keyakinan saya  karna saya mencontoh junjungan saya bahwa ketika beliau menyebarkan ajaran islam banyak yg menentang namun beliau justru mendoakan kebaikan bkn keburukan  terima kasih traveloka telah menjadi teman setia perjalanan saya ,saya bukan tipe orang yang mudah termakan isu apalagi soal agama tanpa bukti yang karena itu akan menjadi dosa untuk diriku sendiri saya muslim saya di ajarkan dari kecil untuk saling mengasihi sesama manusia sekalipun jika dia adalah penentang keyakinan saya karena saya mencontoh junjungan saya bahwa ketika beliau menyebarkan ajaran islam banyak yang menentang namun beliau justru mendoakan kebaikan bukan keburukan terima kasih traveloka telah menjadi teman setia perjalanan saya,"['saya', 'bukan', 'tipe', 'orang', 'yang', 'mudah', 'termakan', 'isu', 'apalagi', 'soal', 'agama', 'tanpa', 'bukti', 'yang', 'karena', 'itu', 'akan', 'menjadi', 'dosa', 'untuk', 'diriku', 'sendiri', 'saya', 'muslim', 'saya', 'di', 'ajarkan', 'dari', 'kecil', 'untuk', 'saling', 'mengasihi', 'sesama', 'manusia', 'sekalipun', 'jika', 'dia', 'adalah', 'penentang', 'keyakinan', 'saya', 'karena', 'saya', 'mencontoh', 'junjungan', 'saya', 'bahwa', 'ketika', 'beliau', 'menyebarkan', 'ajaran', 'islam', 'banyak', 'yang', 'menentang', 'namun', 'beliau', 'justru', 'mendoakan', 'kebaikan', 'bukan', 'keburukan', 'terima', 'kasih', 'traveloka', 'telah', 'menjadi', 'teman', 'setia', 'perjalanan', 'saya']","['tipe', 'orang', 'mudah', 'termakan', 'isu', 'agama', 'bukti', 'dosa', 'diriku', 'muslim', 'ajarkan', 'mengasihi', 'manusia', 'penentang', 'keyakinan', 'mencontoh', 'junjungan', 'beliau', 'menyebarkan', 'ajaran', 'islam', 'menentang', 'beliau', 'mendoakan', 'kebaikan', 'keburukan', 'terima', 'kasih', 'traveloka', 'teman', 'setia', 'perjalanan']",tipe orang mudah makan isu agama bukti dosa diri muslim ajar asih manusia tentang yakin contoh junjung beliau sebar ajar islam tentang beliau doa baik keburu terima kasih traveloka teman setia jalan
pesan tiket jadi mudah,pesan tiket jadi mudah,pesan tiket jadi mudah,pesan tiket jadi mudah,"['pesan', 'tiket', 'jadi', 'mudah']","['pesan', 'tiket', 'mudah']",pesan tiket mudah
pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,"['pelayanan', 'baik']",['pelayanan'],layan
"Tpaylater. bayar lancar, limit utuh terus, giliran mau dipake lagi gak bisa. aplikasi payah. jebakan. cari untung saja. mengecewakan",Tpaylater  bayar lancar  limit utuh terus  giliran mau dipake lagi gak bisa  aplikasi payah  jebakan  cari untung saja  mengecewakan,tpaylater  bayar lancar  limit utuh terus  giliran mau dipake lagi gak bisa  aplikasi payah  jebakan  cari untung saja  mengecewakan,tpaylater bayar lancar limit utuh terus giliran mau dipakai lagi tidak bisa aplikasi payah jebakan cari untung saja mengecewakan,"['tpaylater', 'bayar', 'lancar', 'limit', 'utuh', 'terus', 'giliran', 'mau', 'dipakai', 'lagi', 'tidak', 'bisa', 'aplikasi', 'payah', 'jebakan', 'cari', 'untung', 'saja', 'mengecewakan']","['tpaylater', 'bayar', 'lancar', 'limit', 'utuh', 'giliran', 'dipakai', 'aplikasi', 'payah', 'jebakan', 'cari', 'untung', 'mengecewakan']",tpaylater bayar lancar limit utuh gilir pakai aplikasi payah jebak cari untung kecewa
sangat membantu terimaksih,sangat membantu terimaksih,sangat membantu terimaksih,sangat membantu terima kasih,"['sangat', 'membantu', 'terima', 'kasih']","['membantu', 'terima', 'kasih']",bantu terima kasih
Best,Best,best,best,['best'],['best'],best
iklan anda mengganggu,iklan anda mengganggu,iklan anda mengganggu,iklan anda mengganggu,"['iklan', 'anda', 'mengganggu']","['iklan', 'mengganggu']",iklan ganggu
sistim ok,sistim ok,sistim ok,sistem ok,"['sistem', 'ok']","['sistem', 'ok']",sistem ok
okeee dana refund sudah di kembalikan,okeee dana refund sudah di kembalikan,okeee dana refund sudah di kembalikan,okeee dana refund sudah di kembalikan,"['okeee', 'dana', 'refund', 'sudah', 'di', 'kembalikan']","['okeee', 'dana', 'refund', 'kembalikan']",okeee dana refund kembali
"harga hotel tidak konsisten, di halaman awal pencarian tertulis 676rb, ketika di klik mau dipilih harganya menjadi 818rb.. saran saja, harga di depan sudah ditampilkan + hitungan pajak dll.",harga hotel tidak konsisten  di halaman awal pencarian tertulis rb  ketika di klik mau dipilih harganya menjadi rb   saran saja  harga di depan sudah ditampilkan   hitungan pajak dll ,harga hotel tidak konsisten  di halaman awal pencarian tertulis rb  ketika di klik mau dipilih harganya menjadi rb   saran saja  harga di depan sudah ditampilkan   hitungan pajak dll ,harga hotel tidak konsisten di halaman awal pencarian tertulis ribu ketika di klik mau dipilih harganya menjadi ribu saran saja harga di depan sudah ditampilkan hitungan pajak dll,"['harga', 'hotel', 'tidak', 'konsisten', 'di', 'halaman', 'awal', 'pencarian', 'tertulis', 'ribu', 'ketika', 'di', 'klik', 'mau', 'dipilih', 'harganya', 'menjadi', 'ribu', 'saran', 'saja', 'harga', 'di', 'depan', 'sudah', 'ditampilkan', 'hitungan', 'pajak', 'dll']","['harga', 'hotel', 'konsisten', 'halaman', 'pencarian', 'tertulis', 'ribu', 'klik', 'dipilih', 'harganya', 'ribu', 'saran', 'harga', 'ditampilkan', 'hitungan', 'pajak', 'dll']",harga hotel konsisten halaman cari tulis ribu klik pilih harga ribu saran harga tampil hitung pajak dll
T paylater saya tidak bisa di gunakan secara sepihak oleh traveloka padahal saya tidak pernah telat saat pembayaran,T paylater saya tidak bisa di gunakan secara sepihak oleh traveloka padahal saya tidak pernah telat saat pembayaran,t paylater saya tidak bisa di gunakan secara sepihak oleh traveloka padahal saya tidak pernah telat saat pembayaran,t paylater saya tidak bisa di gunakan secara sepihak oleh traveloka padahal saya tidak pernah telat saat pembayaran,"['t', 'paylater', 'saya', 'tidak', 'bisa', 'di', 'gunakan', 'secara', 'sepihak', 'oleh', 'traveloka', 'padahal', 'saya', 'tidak', 'pernah', 'telat', 'saat', 'pembayaran']","['t', 'paylater', 'traveloka', 'telat', 'pembayaran']",t paylater traveloka telat bayar
"kecewa si, proses refund aja lama, sedangkan dari pihak hotel nya aja sudah menyetujui untk di refund tp pihak Traveloka yg lama, mana dipotong lagi 60 rebu kalo lansung masuk ya gk papa eh ini entah kapan di kembalikan uang nya sudah dipotong 60",kecewa si  proses refund aja lama  sedangkan dari pihak hotel nya aja sudah menyetujui untk di refund tp pihak Traveloka yg lama  mana dipotong lagi  rebu kalo lansung masuk ya gk papa eh ini entah kapan di kembalikan uang nya sudah dipotong ,kecewa si  proses refund aja lama  sedangkan dari pihak hotel nya aja sudah menyetujui untk di refund tp pihak traveloka yg lama  mana dipotong lagi  rebu kalo lansung masuk ya gk papa eh ini entah kapan di kembalikan uang nya sudah dipotong ,kecewa sih proses refund saja lama sedangkan dari pihak hotel nya saja sudah menyetujui untuk di refund tapi pihak traveloka yang lama mana dipotong lagi rebu kalau lansung masuk ya tidak papa eh ini entah kapan di kembalikan uang nya sudah dipotong,"['kecewa', 'sih', 'proses', 'refund', 'saja', 'lama', 'sedangkan', 'dari', 'pihak', 'hotel', 'nya', 'saja', 'sudah', 'menyetujui', 'untuk', 'di', 'refund', 'tapi', 'pihak', 'traveloka', 'yang', 'lama', 'mana', 'dipotong', 'lagi', 'rebu', 'kalau', 'lansung', 'masuk', 'ya', 'tidak', 'papa', 'eh', 'ini', 'entah', 'kapan', 'di', 'kembalikan', 'uang', 'nya', 'sudah', 'dipotong']","['kecewa', 'sih', 'proses', 'refund', 'hotel', 'nya', 'menyetujui', 'refund', 'traveloka', 'dipotong', 'rebu', 'lansung', 'masuk', 'ya', 'papa', 'eh', 'kembalikan', 'uang', 'nya', 'dipotong']",kecewa sih proses refund hotel nya tuju refund traveloka potong rebu lansung masuk ya papa eh kembali uang nya potong
aman dan praktis penggunaannya 👍🏼,aman dan praktis penggunaannya ,aman dan praktis penggunaannya ,aman dan praktis penggunaannya,"['aman', 'dan', 'praktis', 'penggunaannya']","['aman', 'praktis', 'penggunaannya']",aman praktis guna
Sangat membantu saat dibutuhkan...,Sangat membantu saat dibutuhkan   ,sangat membantu saat dibutuhkan   ,sangat membantu saat dibutuhkan,"['sangat', 'membantu', 'saat', 'dibutuhkan']","['membantu', 'dibutuhkan']",bantu butuh
Traveloka selalu membantu,Traveloka selalu membantu,traveloka selalu membantu,traveloka selalu membantu,"['traveloka', 'selalu', 'membantu']","['traveloka', 'membantu']",traveloka bantu
"baik, cepat prosesnya",baik  cepat prosesnya,baik  cepat prosesnya,baik cepat prosesnya,"['baik', 'cepat', 'prosesnya']","['cepat', 'prosesnya']",cepat proses
Aplikasi Traveloka sangat membantu dalam merencanakan perjalanan lintas domestik dan Internasional.,Aplikasi Traveloka sangat membantu dalam merencanakan perjalanan lintas domestik dan Internasional ,aplikasi traveloka sangat membantu dalam merencanakan perjalanan lintas domestik dan internasional ,aplikasi traveloka sangat membantu dalam merencanakan perjalanan lintas domestik dan internasional,"['aplikasi', 'traveloka', 'sangat', 'membantu', 'dalam', 'merencanakan', 'perjalanan', 'lintas', 'domestik', 'dan', 'internasional']","['aplikasi', 'traveloka', 'membantu', 'merencanakan', 'perjalanan', 'lintas', 'domestik', 'internasional']",aplikasi traveloka bantu rencana jalan lintas domestik internasional
"Tolong dong klo orang mau refund tiket bus telponnya di angkat, jangan diem aja. Mana uangnya mau di pake buat beli susu bayi, gak kasian apa!? Gue telpon bolak-balik kaga di angkat",Tolong dong klo orang mau refund tiket bus telponnya di angkat  jangan diem aja  Mana uangnya mau di pake buat beli susu bayi  gak kasian apa   Gue telpon bolak balik kaga di angkat,tolong dong klo orang mau refund tiket bus telponnya di angkat  jangan diem aja  mana uangnya mau di pake buat beli susu bayi  gak kasian apa   gue telpon bolak balik kaga di angkat,tolong dong kalau orang mau refund tiket bus telponnya di angkat jangan diam saja mana uangnya mau di pakai buat beli susu bayi tidak kasihan apa gue telpon bolak balik kagak di angkat,"['tolong', 'dong', 'kalau', 'orang', 'mau', 'refund', 'tiket', 'bus', 'telponnya', 'di', 'angkat', 'jangan', 'diam', 'saja', 'mana', 'uangnya', 'mau', 'di', 'pakai', 'buat', 'beli', 'susu', 'bayi', 'tidak', 'kasihan', 'apa', 'gue', 'telpon', 'bolak', 'balik', 'kagak', 'di', 'angkat']","['tolong', 'orang', 'refund', 'tiket', 'bus', 'telponnya', 'angkat', 'diam', 'uangnya', 'pakai', 'beli', 'susu', 'bayi', 'kasihan', 'gue', 'telpon', 'bolak', 'kagak', 'angkat']",tolong orang refund tiket bus telpon angkat diam uang pakai beli susu bayi kasihan gue telpon bolak kagak angkat
good apk,good apk,good apk,good aplikasi,"['good', 'aplikasi']","['good', 'aplikasi']",good aplikasi
proses cepat dan sesuai haraoan,proses cepat dan sesuai haraoan,proses cepat dan sesuai haraoan,proses cepat dan sesuai haraoan,"['proses', 'cepat', 'dan', 'sesuai', 'haraoan']","['proses', 'cepat', 'sesuai', 'haraoan']",proses cepat sesuai haraoan
"apk tidak bertanggung jawab, pesan hotel hanya salah tanggal saja tapi tidak bisa untuk refund!!!",apk tidak bertanggung jawab  pesan hotel hanya salah tanggal saja tapi tidak bisa untuk refund   ,apk tidak bertanggung jawab  pesan hotel hanya salah tanggal saja tapi tidak bisa untuk refund   ,aplikasi tidak bertanggung jawab pesan hotel hanya salah tanggal saja tapi tidak bisa untuk refund,"['aplikasi', 'tidak', 'bertanggung', 'jawab', 'pesan', 'hotel', 'hanya', 'salah', 'tanggal', 'saja', 'tapi', 'tidak', 'bisa', 'untuk', 'refund']","['aplikasi', 'bertanggung', 'pesan', 'hotel', 'salah', 'tanggal', 'refund']",aplikasi tanggung pesan hotel salah tanggal refund
cepat dan simple,cepat dan simple,cepat dan simple,cepat dan simple,"['cepat', 'dan', 'simple']","['cepat', 'simple']",cepat simple
menggangu,menggangu,menggangu,mengganggu,['mengganggu'],['mengganggu'],ganggu
ngak bisa revon beli untuk tanggal 30 juni dapet 30 juli,ngak bisa revon beli untuk tanggal  juni dapet  juli,ngak bisa revon beli untuk tanggal  juni dapet  juli,tidak bisa revon beli untuk tanggal juni dapat juli,"['tidak', 'bisa', 'revon', 'beli', 'untuk', 'tanggal', 'juni', 'dapat', 'juli']","['revon', 'beli', 'tanggal', 'juni', 'juli']",revon beli tanggal juni juli
saya menunggu refound sudah lebih 10 hari belum di ada persetujuan,saya menunggu refound sudah lebih  hari belum di ada persetujuan,saya menunggu refound sudah lebih  hari belum di ada persetujuan,saya menunggu refound sudah lebih hari belum di ada persetujuan,"['saya', 'menunggu', 'refound', 'sudah', 'lebih', 'hari', 'belum', 'di', 'ada', 'persetujuan']","['menunggu', 'refound', 'persetujuan']",tunggu refound tuju
aplikasi yg memuaskan dan sgat akurat,aplikasi yg memuaskan dan sgat akurat,aplikasi yg memuaskan dan sgat akurat,aplikasi yang memuaskan dan sgat akurat,"['aplikasi', 'yang', 'memuaskan', 'dan', 'sgat', 'akurat']","['aplikasi', 'memuaskan', 'sgat', 'akurat']",aplikasi muas sgat akurat
bagus dan cepat prosesnta,bagus dan cepat prosesnta,bagus dan cepat prosesnta,bagus dan cepat prosesnta,"['bagus', 'dan', 'cepat', 'prosesnta']","['bagus', 'cepat', 'prosesnta']",bagus cepat prosesnta
Allhamdulillah sy selalu pake treveloka dmn n kmn aja,Allhamdulillah sy selalu pake treveloka dmn n kmn aja,allhamdulillah sy selalu pake treveloka dmn n kmn aja,allhamdulillah saya selalu pakai treveloka dimana n kemana saja,"['allhamdulillah', 'saya', 'selalu', 'pakai', 'treveloka', 'dimana', 'n', 'kemana', 'saja']","['allhamdulillah', 'pakai', 'treveloka', 'dimana', 'n', 'kemana']",allhamdulillah pakai treveloka mana n mana
saya mau lunasin..tapi lupa email dan password,saya mau lunasin  tapi lupa email dan password,saya mau lunasin  tapi lupa email dan password,saya mau lunasin tapi lupa email dan password,"['saya', 'mau', 'lunasin', 'tapi', 'lupa', 'email', 'dan', 'password']","['lunasin', 'lupa', 'email', 'password']",lunasin lupa email password
aplikasi bekok malah kemahalan ke jakarta 1.345.000 kalo yang lion air ngebug ini,aplikasi bekok malah kemahalan ke jakarta    kalo yang lion air ngebug ini,aplikasi bekok malah kemahalan ke jakarta    kalo yang lion air ngebug ini,aplikasi bekok malah kemahalan ke jakarta kalau yang lion air ngebug ini,"['aplikasi', 'bekok', 'malah', 'kemahalan', 'ke', 'jakarta', 'kalau', 'yang', 'lion', 'air', 'ngebug', 'ini']","['aplikasi', 'bekok', 'kemahalan', 'jakarta', 'lion', 'air', 'ngebug']",aplikasi bekok mahal jakarta lion air ngebug
so far so good,so far so good,so far so good,sok far sok good,"['sok', 'far', 'sok', 'good']","['sok', 'far', 'sok', 'good']",sok far sok good
kenapa ga bisa daftar/login,kenapa ga bisa daftar login,kenapa ga bisa daftar login,kenapa tidak bisa daftar login,"['kenapa', 'tidak', 'bisa', 'daftar', 'login']","['daftar', 'login']",daftar login
kurang banyak promo diskonnya,kurang banyak promo diskonnya,kurang banyak promo diskonnya,kurang banyak promo diskonnya,"['kurang', 'banyak', 'promo', 'diskonnya']","['promo', 'diskonnya']",promo diskon
"Dear Develop Traveloka, Saya pribadi tidak pernah untuk melakukan pengajuan ataupun pinjaman Traveloka Paylater atau apapun di Traveloka. Seakan akan saya ada pinjaman, kontak keluarga pun di teror! tolong lebih bijak lagi dan jangan meneror orang jika tidak ada buktinya.",Dear Develop Traveloka  Saya pribadi tidak pernah untuk melakukan pengajuan ataupun pinjaman Traveloka Paylater atau apapun di Traveloka  Seakan akan saya ada pinjaman  kontak keluarga pun di teror  tolong lebih bijak lagi dan jangan meneror orang jika tidak ada buktinya ,dear develop traveloka  saya pribadi tidak pernah untuk melakukan pengajuan ataupun pinjaman traveloka paylater atau apapun di traveloka  seakan akan saya ada pinjaman  kontak keluarga pun di teror  tolong lebih bijak lagi dan jangan meneror orang jika tidak ada buktinya ,dear develop traveloka saya pribadi tidak pernah untuk melakukan pengajuan ataupun pinjaman traveloka paylater atau apapun di traveloka seakan akan saya ada pinjaman kontak keluarga pun di teror tolong lebih bijak lagi dan jangan meneror orang jika tidak ada buktinya,"['dear', 'develop', 'traveloka', 'saya', 'pribadi', 'tidak', 'pernah', 'untuk', 'melakukan', 'pengajuan', 'ataupun', 'pinjaman', 'traveloka', 'paylater', 'atau', 'apapun', 'di', 'traveloka', 'seakan', 'akan', 'saya', 'ada', 'pinjaman', 'kontak', 'keluarga', 'pun', 'di', 'teror', 'tolong', 'lebih', 'bijak', 'lagi', 'dan', 'jangan', 'meneror', 'orang', 'jika', 'tidak', 'ada', 'buktinya']","['dear', 'develop', 'traveloka', 'pribadi', 'pengajuan', 'pinjaman', 'traveloka', 'paylater', 'apapun', 'traveloka', 'seakan', 'pinjaman', 'kontak', 'keluarga', 'teror', 'tolong', 'bijak', 'meneror', 'orang', 'buktinya']",dear develop traveloka pribadi aju pinjam traveloka paylater apa traveloka akan pinjam kontak keluarga teror tolong bijak teror orang bukti
iklan kau tu hapus dulu,iklan kau tu hapus dulu,iklan kau tu hapus dulu,iklan kau itu hapus dulu,"['iklan', 'kau', 'itu', 'hapus', 'dulu']","['iklan', 'kau', 'hapus']",iklan kau hapus
sangat mudah untuk digunakan dalam proses pengembangan,sangat mudah untuk digunakan dalam proses pengembangan,sangat mudah untuk digunakan dalam proses pengembangan,sangat mudah untuk digunakan dalam proses pengembangan,"['sangat', 'mudah', 'untuk', 'digunakan', 'dalam', 'proses', 'pengembangan']","['mudah', 'proses', 'pengembangan']",mudah proses kembang
sangat membantu dalam perjalanan tks 🙏,sangat membantu dalam perjalanan tks ,sangat membantu dalam perjalanan tks ,sangat membantu dalam perjalanan terima kasih,"['sangat', 'membantu', 'dalam', 'perjalanan', 'terima', 'kasih']","['membantu', 'perjalanan', 'terima', 'kasih']",bantu jalan terima kasih
Thanks Traveloka. sangat membantu sekali,Thanks Traveloka  sangat membantu sekali,thanks traveloka  sangat membantu sekali,thanks traveloka sangat membantu sekali,"['thanks', 'traveloka', 'sangat', 'membantu', 'sekali']","['thanks', 'traveloka', 'membantu']",thanks traveloka bantu
error trus aplikasi,error trus aplikasi,error trus aplikasi,error terus aplikasi,"['error', 'terus', 'aplikasi']","['error', 'aplikasi']",error aplikasi
kesalahan dri Traveloka mreka refund tiket saya dan saya harus nunggu 3-5 hari kerja untuk dpat duit itu balik sedang kan duit itu harus saya pakai lagi buat beli tiket saya harus berangkat besok sampai skrng saya blm dpat solusinya bagaimana perdana pesan dri Traveloka malah bgini,kesalahan dri Traveloka mreka refund tiket saya dan saya harus nunggu   hari kerja untuk dpat duit itu balik sedang kan duit itu harus saya pakai lagi buat beli tiket saya harus berangkat besok sampai skrng saya blm dpat solusinya bagaimana perdana pesan dri Traveloka malah bgini,kesalahan dri traveloka mreka refund tiket saya dan saya harus nunggu   hari kerja untuk dpat duit itu balik sedang kan duit itu harus saya pakai lagi buat beli tiket saya harus berangkat besok sampai skrng saya blm dpat solusinya bagaimana perdana pesan dri traveloka malah bgini,kesalahan dari traveloka mereka refund tiket saya dan saya harus menunggu hari kerja untuk dpat duit itu balik sedang kan duit itu harus saya pakai lagi buat beli tiket saya harus berangkat besok sampai sekarang saya belum dpat solusinya bagaimana perdana pesan dari traveloka malah begini,"['kesalahan', 'dari', 'traveloka', 'mereka', 'refund', 'tiket', 'saya', 'dan', 'saya', 'harus', 'menunggu', 'hari', 'kerja', 'untuk', 'dpat', 'duit', 'itu', 'balik', 'sedang', 'kan', 'duit', 'itu', 'harus', 'saya', 'pakai', 'lagi', 'buat', 'beli', 'tiket', 'saya', 'harus', 'berangkat', 'besok', 'sampai', 'sekarang', 'saya', 'belum', 'dpat', 'solusinya', 'bagaimana', 'perdana', 'pesan', 'dari', 'traveloka', 'malah', 'begini']","['kesalahan', 'traveloka', 'refund', 'tiket', 'menunggu', 'kerja', 'dpat', 'duit', 'duit', 'pakai', 'beli', 'tiket', 'berangkat', 'besok', 'dpat', 'solusinya', 'perdana', 'pesan', 'traveloka']",salah traveloka refund tiket tunggu kerja dpat duit duit pakai beli tiket berangkat besok dpat solusi perdana pesan traveloka
aplikasi wort it bagu banget,aplikasi wort it bagu banget,aplikasi wort it bagu banget,aplikasi wort itu bagu banget,"['aplikasi', 'wort', 'itu', 'bagu', 'banget']","['aplikasi', 'wort', 'bagu', 'banget']",aplikasi wort bagu banget
Aplikasi nya bagus banget membantu,Aplikasi nya bagus banget membantu,aplikasi nya bagus banget membantu,aplikasi nya bagus banget membantu,"['aplikasi', 'nya', 'bagus', 'banget', 'membantu']","['aplikasi', 'nya', 'bagus', 'banget', 'membantu']",aplikasi nya bagus banget bantu
Sangat membantu menemukan hotel hotel yang ingin dituju,Sangat membantu menemukan hotel hotel yang ingin dituju,sangat membantu menemukan hotel hotel yang ingin dituju,sangat membantu menemukan hotel hotel yang ingin dituju,"['sangat', 'membantu', 'menemukan', 'hotel', 'hotel', 'yang', 'ingin', 'dituju']","['membantu', 'menemukan', 'hotel', 'hotel', 'dituju']",bantu temu hotel hotel tuju
menjadikan setiap moment perjalanan lebih terasa dan penuh makna,menjadikan setiap moment perjalanan lebih terasa dan penuh makna,menjadikan setiap moment perjalanan lebih terasa dan penuh makna,menjadikan setiap moment perjalanan lebih terasa dan penuh makna,"['menjadikan', 'setiap', 'moment', 'perjalanan', 'lebih', 'terasa', 'dan', 'penuh', 'makna']","['menjadikan', 'moment', 'perjalanan', 'penuh', 'makna']",jadi moment jalan penuh makna
Si tai kalo ngiklan ga ngotak,Si tai kalo ngiklan ga ngotak,si tai kalo ngiklan ga ngotak,sih tahi kalau ngiklan tidak ngotak,"['sih', 'tahi', 'kalau', 'ngiklan', 'tidak', 'ngotak']","['sih', 'tahi', 'ngiklan', 'ngotak']",sih tahi ngiklan ngotak
kenapa ga bisa di akses???? ?,kenapa ga bisa di akses      ,kenapa ga bisa di akses      ,kenapa tidak bisa di akses,"['kenapa', 'tidak', 'bisa', 'di', 'akses']",['akses'],akses
mudah...semoga makin murah hotelnya,mudah   semoga makin murah hotelnya,mudah   semoga makin murah hotelnya,mudah semoga makin murah hotelnya,"['mudah', 'semoga', 'makin', 'murah', 'hotelnya']","['mudah', 'semoga', 'murah', 'hotelnya']",mudah moga murah hotel
sangat membantu dalam proses pembelian tiket 👍,sangat membantu dalam proses pembelian tiket ,sangat membantu dalam proses pembelian tiket ,sangat membantu dalam proses pembelian tiket,"['sangat', 'membantu', 'dalam', 'proses', 'pembelian', 'tiket']","['membantu', 'proses', 'pembelian', 'tiket']",bantu proses beli tiket
cepat proses y dan banyak pilihan hotel y,cepat proses y dan banyak pilihan hotel y,cepat proses y dan banyak pilihan hotel y,cepat proses ya dan banyak pilihan hotel ya,"['cepat', 'proses', 'ya', 'dan', 'banyak', 'pilihan', 'hotel', 'ya']","['cepat', 'proses', 'ya', 'pilihan', 'hotel', 'ya']",cepat proses ya pilih hotel ya
tolong jangan kirim iklan,tolong jangan kirim iklan,tolong jangan kirim iklan,tolong jangan kirim iklan,"['tolong', 'jangan', 'kirim', 'iklan']","['tolong', 'kirim', 'iklan']",tolong kirim iklan
cepat aman,cepat aman,cepat aman,cepat aman,"['cepat', 'aman']","['cepat', 'aman']",cepat aman
Traveloka nya bagua cmn maskapai lion bad bgt suka delay2,Traveloka nya bagua cmn maskapai lion bad bgt suka delay,traveloka nya bagua cmn maskapai lion bad bgt suka delay,traveloka nya bagua cuman maskapai lion bad banget suka delay,"['traveloka', 'nya', 'bagua', 'cuman', 'maskapai', 'lion', 'bad', 'banget', 'suka', 'delay']","['traveloka', 'nya', 'bagua', 'cuman', 'maskapai', 'lion', 'bad', 'banget', 'suka', 'delay']",traveloka nya bagua cuman maskapai lion bad banget suka delay
banyak biaya biaya admin sungguh scam,banyak biaya biaya admin sungguh scam,banyak biaya biaya admin sungguh scam,banyak biaya biaya admin sungguh scam,"['banyak', 'biaya', 'biaya', 'admin', 'sungguh', 'scam']","['biaya', 'biaya', 'admin', 'sungguh', 'scam']",biaya biaya admin sungguh scam
aplikasi menggangu sekali sudah di atur mati notifikasi tiba idup sendiri lagi buka aplikasi lain malah masuk ke aplikasi ini samalah emang,aplikasi menggangu sekali sudah di atur mati notifikasi tiba idup sendiri lagi buka aplikasi lain malah masuk ke aplikasi ini samalah emang,aplikasi menggangu sekali sudah di atur mati notifikasi tiba idup sendiri lagi buka aplikasi lain malah masuk ke aplikasi ini samalah emang,aplikasi mengganggu sekali sudah di atur mati notifikasi tiba hidup sendiri lagi buka aplikasi lain malah masuk ke aplikasi ini samalah memang,"['aplikasi', 'mengganggu', 'sekali', 'sudah', 'di', 'atur', 'mati', 'notifikasi', 'tiba', 'hidup', 'sendiri', 'lagi', 'buka', 'aplikasi', 'lain', 'malah', 'masuk', 'ke', 'aplikasi', 'ini', 'samalah', 'memang']","['aplikasi', 'mengganggu', 'atur', 'mati', 'notifikasi', 'hidup', 'buka', 'aplikasi', 'masuk', 'aplikasi', 'samalah']",aplikasi ganggu atur mati notifikasi hidup buka aplikasi masuk aplikasi sama
mempermudah untuk mengatur perjalanan sesuai jadwal dan schedule yg diinginkan.,mempermudah untuk mengatur perjalanan sesuai jadwal dan schedule yg diinginkan ,mempermudah untuk mengatur perjalanan sesuai jadwal dan schedule yg diinginkan ,mempermudah untuk mengatur perjalanan sesuai jadwal dan schedule yang diinginkan,"['mempermudah', 'untuk', 'mengatur', 'perjalanan', 'sesuai', 'jadwal', 'dan', 'schedule', 'yang', 'diinginkan']","['mempermudah', 'mengatur', 'perjalanan', 'sesuai', 'jadwal', 'schedule']",mudah atur jalan sesuai jadwal schedule
